lon_departure,lat_departure,lon_arrival,lat_arrival
61.838,55.50899999999999,38.51,55.681000000000004
61.838,55.50899999999999,49.464,56.01
61.838,55.50899999999999,83.084,55.021
38.51,55.681000000000004,61.838,55.50899999999999
38.51,55.681000000000004,20.987,55.483000000000004
38.51,55.681000000000004,49.464,56.01
38.51,55.681000000000004,-80.539,32.795
38.51,55.681000000000004,45.035,53.184
38.51,55.681000000000004,53.336000000000006,55.066
50.077,40.779,-80.539,32.795
20.987,55.483000000000004,38.51,55.681000000000004
49.464,56.01,61.838,55.50899999999999
49.464,56.01,38.51,55.681000000000004
49.464,56.01,30.436999999999998,60.333
49.464,56.01,12.31,48.589
49.464,56.01,53.336000000000006,55.066
30.436999999999998,60.333,49.464,56.01
30.436999999999998,60.333,-80.539,32.795
30.436999999999998,60.333,53.336000000000006,55.066
12.31,48.589,49.464,56.01
-80.539,32.795,38.51,55.681000000000004
-80.539,32.795,50.077,40.779
-80.539,32.795,30.436999999999998,60.333
76.806,61.582,53.336000000000006,55.066
83.084,55.021,61.838,55.50899999999999
45.035,53.184,38.51,55.681000000000004
53.336000000000006,55.066,38.51,55.681000000000004
53.336000000000006,55.066,49.464,56.01
53.336000000000006,55.066,30.436999999999998,60.333
53.336000000000006,55.066,76.806,61.582
-72.918,-13.511,-76.524,-11.37
-71.306,-15.902000000000001,-69.597,-15.112
-71.306,-15.902000000000001,-76.524,-11.37
-73.675,-12.592,-76.524,-11.37
-71.898,-13.227,-76.524,-11.37
-71.898,-13.227,-68.715,-12.357000000000001
-75.675,-9.799,-76.524,-11.37
-72.84899999999999,-3.642,-74.291,-7.9639999999999995
-72.84899999999999,-3.642,-75.956,-6.182
-69.597,-15.112,-71.306,-15.902000000000001
-76.524,-11.37,-72.918,-13.511
-76.524,-11.37,-71.306,-15.902000000000001
-76.524,-11.37,-73.675,-12.592
-76.524,-11.37,-71.898,-13.227
-76.524,-11.37,-75.675,-9.799
-76.524,-11.37,-74.291,-7.9639999999999995
-76.524,-11.37,-79.969,-3.255
-76.524,-11.37,-75.956,-6.182
-74.291,-7.9639999999999995,-72.84899999999999,-3.642
-74.291,-7.9639999999999995,-76.524,-11.37
-74.291,-7.9639999999999995,-75.956,-6.182
-68.715,-12.357000000000001,-71.898,-13.227
-79.969,-3.255,-80.757,-4.295
-75.956,-6.182,-72.84899999999999,-3.642
-75.956,-6.182,-76.524,-11.37
-75.956,-6.182,-74.291,-7.9639999999999995
